CountryName,year,Life Ladder,Log GDP,Social support,life exp,Free Life choice,Generosity,Corruption%,Posi affect,Nega affect,Confi in gov,Democratic,Delivery,GINI 00-17,gini(hhold income),Trust(81-84),Trust(94-98),Trust(05-09)
Spain,2018,6.513370991,10.46469212,0.910314679,74.40000153,0.7222507,-0.074071385,0.776504457,0.659188032,0.357190847,0.285195619,0.659527779,0.882467508,0.345384615,0.359143615,,0.286672652,0.198379636
Sri Lanka,2018,4.435023785,9.388946533,0.832882166,67.19999695,0.858873606,0.103593104,0.855907619,0.830616057,0.301813632,0.582941115,-0.087190285,-0.174218416,0.3934,0.407672912,,,
Swaziland,2018,4.211565018,9.162239075,0.779269755,50.58631516,0.709973693,-0.193076208,0.692341149,0.824354708,0.252339154,0.689548731,-0.823841214,-0.432559729,0.523,0.732568085,,,
Sweden,2018,7.374792099,10.76201344,0.93067956,72.59999847,0.941724658,0.075677998,0.262796581,0.822675705,0.160755426,0.49439624,1.262371063,1.91663909,0.274153846,0.381509691,0.570789635,0.565906823,0.679727852
Switzerland,2018,7.508586884,10.98561859,0.930290997,74.09999847,0.926414549,0.101783037,0.301259965,0.792225957,0.191520154,0.84997946,1.4806422,1.940240026,0.3281,0.320724994,,0.378479093,0.518936038
Taiwan Province of China,2018,6.467004776,,0.896458745,,0.741032779,,0.735970736,0.848398566,0.092695646,0.311722934,0.91543889,1.21444416,,0.330177575,,,
Tajikistan,2018,5.497468948,8.026519775,0.875243485,64.09999847,,-0.066762313,0.577945948,0.694633186,0.219793811,,-1.206858277,-1.210999489,0.3266,0.35606721,,,
Tanzania,2018,3.445023298,7.969771862,0.6753304,57.5,0.807142138,0.13950853,0.611534059,0.762089312,0.221005499,0.914648473,-0.461791337,-0.593028426,0.384666667,0.568629265,,,
Thailand,2018,6.011561871,9.735346794,0.873052418,67.19999695,0.90482825,0.255532324,0.906596005,0.843489408,0.198190212,0.605364442,-0.869340301,0.021521257,0.392733333,0.482406765,,,0.415081978
Togo,2018,4.022894859,7.355933189,0.596353889,54.70000076,0.611966252,-0.012457929,0.808537722,0.608448625,0.446454376,0.323221207,-0.862419307,-0.756701827,0.437666667,0.444903791,,,
Tunisia,2018,4.741132259,9.314383507,0.732953548,66.90000153,0.649680078,-0.200811476,0.84011662,0.591726601,0.365014285,0.349490464,-0.345538557,-0.132594451,0.36775,0.431391299,,,
Turkey,2018,5.185689449,10.1380291,0.847027302,66.80000305,0.528629065,-0.176209301,0.804878533,0.434654295,0.350773096,0.513677061,-1.080861092,-0.174015671,0.4058,0.36262396,,0.06466376,0.048552454
Turkmenistan,2018,4.620601654,9.748527527,0.984488964,62.20000076,0.857774079,0.24129355,,0.612210274,0.189024538,,-1.075306177,-1.463231325,,0.247762427,,,
Uganda,2018,4.321714878,7.499628544,0.739841044,55.70000076,0.728512764,0.085156597,0.856106222,0.685168505,0.390319228,0.50385344,-0.679032624,-0.547333002,0.4322,0.655502677,,,
