Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Ecuador,2018,6.128,9.355,0.851,68.5,0.869,-0.099,0.831,0.876,0.328,Developing,South America,South/Latin America,42
Poland,2018,6.111,10.366,0.863,69.3,0.87,-0.254,0.72,0.742,0.176,Developed,Europe,Europe,43
Estonia,2018,6.091,10.472,0.933,68.6,0.886,-0.141,0.621,0.795,0.163,Developed,Europe,Europe,44
Thailand,2018,6.012,9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198,Developing,Asia,Asia & Pacific,45
Kazakhstan,2018,6.008,10.148,0.937,64.6,0.84,-0.098,0.824,0.693,0.162,Developing,Asia,Asia & Pacific,46
Colombia,2018,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,0.825,0.301,Developing,South America,South/Latin America,47
Hungary,2018,5.936,10.344,0.941,67.6,0.693,-0.243,0.911,0.676,0.201,Developed,Europe,Europe,48
Serbia,2018,5.936,9.762,0.853,68.2,0.74,-0.1,0.864,0.559,0.296,Developed,Europe,Europe,49
Portugal,2018,5.92,10.434,0.887,72.4,0.877,-0.261,0.88,0.679,0.318,Developed,Europe,Europe,50
Finland,2019,7.78,10.792,0.937,72,0.948,-0.052,0.195,0.755,0.181,Developed,Europe,Europe,1
Switzerland,2019,7.694,11.136,0.949,74.4,0.913,0.036,0.294,0.798,0.171,Developed,Europe,Europe,2
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174,0.862,0.181,Developed,Europe,Europe,3
Iceland,2019,7.533,10.931,0.982,73,0.959,,0.699,0.836,0.178,Developed,Europe,Europe,4
Norway,2019,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,Developed,Europe,Europe,5
Netherlands,2019,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,Developed,Europe,Europe,6
Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39,0.789,0.212,Developed,Europe,Europe,7
Sweden,2019,7.398,10.882,0.934,72.7,0.942,0.091,0.25,0.826,0.202,Developed,Europe,Europe,8
Israel,2019,7.332,10.601,0.946,73.5,0.834,0.085,0.743,0.635,0.266,Developed,Asia,Europe,9
Ireland,2019,7.255,11.371,0.944,72.4,0.892,0.074,0.373,0.807,0.223,Developed,Europe,Europe,10
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,Developed,Oceania,Asia & Pacific,11
New Zealand,2019,7.205,10.666,0.939,73.4,0.912,0.157,0.234,0.816,0.191,Developed,Oceania,Asia & Pacific,12
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,Developed,Europe,Europe,13
United Kingdom,2019,7.157,10.751,0.943,72.5,0.854,0.271,0.485,0.775,0.251,Developed,Europe,Europe,14
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,Developed,North America,North America,15
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,Developing,Asia,Arab States,16
Germany,2019,7.035,10.893,0.886,72.5,0.885,0.057,0.462,0.751,0.226,Developed,Europe,Europe,17
Costa Rica,2019,6.998,9.885,0.906,71.5,0.927,-0.146,0.836,0.848,0.303,Developing,North America,South/Latin America,18
United States,2019,6.944,11.043,0.917,68.2,0.836,0.144,0.707,0.815,0.244,Developed,North America,North America,19
Belgium,2019,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,0.733,0.244,Developed,Europe,Europe,20
Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.689,0.707,0.356,Developed,Europe,Europe,21
United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.911,0.129,,0.793,0.284,Developed,Asia,Middle east,22
France,2019,6.69,10.74,0.958,74,0.827,-0.133,0.568,0.735,0.25,Developed,Europe,Europe,23
Slovenia,2019,6.665,10.563,0.949,71.4,0.945,-0.102,0.785,0.679,0.228,Developed,Europe,Europe,24
Uruguay,2019,6.6,9.979,0.933,69.1,0.903,-0.095,0.599,0.889,0.222,Developing,South America,South/Latin America,25
Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.891,-0.147,,0.732,0.238,Developing,Asia,Middle east,26
